users,rps,min,avg,sd,median,max
1,566.30,2,2,0.1,2,3
2,1026.87,2,2,0.3,2,5
3,1233.94,2,2,0.5,2,7
4,1514.86,2,3,0.5,2,7
5,1681.91,2,3,0.5,3,8
6,1862.73,2,3,0.5,3,8
7,1991.33,2,4,0.5,3,8
8,2111.44,2,4,0.6,4,10
9,2215.99,2,4,0.6,4,9
10,2313.39,3,4,0.7,4,10
11,2365.49,2,5,0.8,5,12
12,2462.32,3,5,0.8,5,11
13,2563.02,3,5,0.9,5,11
14,2572.95,2,5,1.0,5,13
15,2642.63,3,6,1.0,6,14
16,2697.63,2,6,1.1,6,14
17,2744.69,2,6,1.1,6,16
18,2782.15,3,6,1.2,6,21
19,2794.31,3,7,1.4,7,18
20,2852.69,3,7,1.4,7,16
25,3042.59,2,8,1.8,8,17
30,3166.33,4,9,2.1,9,21
35,3298.22,4,11,2.6,11,23
40,3390.81,3,12,2.9,12,28
45,3435.91,4,13,3.8,13,30
50,3542.88,4,14,4.3,14,31
55,3596.81,4,15,5.0,15,35
60,3676.99,4,16,4.5,16,34
65,3708.16,4,18,4.5,17,39
70,3705.25,5,19,5.7,19,42
75,3771.81,3,20,5.8,20,41
80,3816.64,5,21,6.0,21,49
85,3836.30,5,22,6.0,22,46
90,3869.88,4,23,6.1,23,57
95,3910.07,5,24,5.7,24,59
100,3937.65,5,25,5.7,25,53
150,4049.12,6,37,9.2,37,80
200,4109.71,6,49,16.0,48,101
250,4145.90,10,60,20.6,60,116
300,4089.06,2,73,41.0,72,169
350,4104.53,3,85,40.6,84,184
400,4030.68,2,99,62.2,96,221
450,4017.74,2,112,74.1,109,245
500,4014.50,2,124,86.7,124,269
550,4041.42,2,135,85.5,133,302
600,4035.12,2,148,105.1,142,318
650,4088.65,8,158,93.7,157,337
700,3971.61,2,175,131.2,164,377
750,3973.31,2,187,134.3,185,456
800,3997.09,2,199,124.5,197,419
850,4007.52,2,211,154.8,206,451
900,3981.74,2,224,162.3,220,486
950,3922.10,2,240,192.5,230,521
1000,3977.58,2,248,195.6,242,524
