users,rps,min,avg,sd,median,max
1,996.66,1,1,0.1,1,4
2,1315.39,1,2,0.2,2,4
3,1645.52,1,2,0.1,2,4
4,1949.28,1,2,0.2,2,4
5,2500.99,1,2,0.1,2,6
6,2658.99,1,2,0.1,2,5
7,2799.18,1,3,0.1,3,6
8,2961.51,1,3,0.1,3,6
9,3016.08,2,3,0.1,3,6
10,3069.60,3,3,0.1,3,6
11,3097.49,3,4,0.2,4,7
12,3206.12,2,4,0.2,4,7
13,3272.83,2,4,0.2,4,7
14,3309.35,3,4,0.2,4,8
15,3268.96,4,5,0.3,5,8
16,3350.26,2,5,0.2,5,8
17,3388.81,2,5,0.3,5,8
18,3466.73,2,5,0.3,5,9
19,3438.32,3,6,0.3,6,10
20,3497.55,4,6,0.3,6,9
25,3591.69,3,7,0.3,7,11
30,3738.90,6,8,0.5,8,13
35,3717.94,7,9,0.5,9,14
40,3801.89,9,11,0.6,11,15
45,3734.27,4,12,0.7,12,16
50,3762.68,10,13,0.7,13,17
55,3851.68,11,14,0.8,14,21
60,3843.45,11,16,0.9,16,22
65,3906.62,12,17,0.9,17,23
70,3936.62,15,18,1.0,18,25
75,3871.87,16,19,1.0,19,25
80,3915.21,17,20,1.1,20,29
85,3955.97,15,21,1.2,21,31
90,3962.74,15,23,1.3,23,33
95,4061.61,21,23,1.4,23,36
100,3859.09,21,26,1.3,26,34
150,4023.53,33,37,2.1,37,50
200,4126.45,43,48,2.4,48,69
250,4006.66,55,62,3.4,62,88
300,4024.07,66,74,4.0,74,102
350,3930.22,78,89,4.7,89,123
400,3875.23,89,103,5.8,103,149
450,3924.98,104,114,5.2,114,158
500,3855.00,117,130,6.4,129,175
550,3865.76,127,142,7.4,141,196
600,3847.32,139,156,7.3,155,215
650,3823.44,156,170,8.0,168,239
700,3856.04,163,181,8.2,180,245
750,3802.04,177,196,10.1,195,263
800,3780.20,113,211,7.4,212,225
850,3818.63,202,222,9.9,219,311
900,3831.65,211,233,11.4,231,330
950,3852.08,224,245,12.8,242,345
1000,3828.21,233,259,12.9,258,365
