users,rps,min,avg,sd,median,max
1,1510.55,1,1,0.0,1,5
2,2345.61,0,1,0.1,1,1
3,10500.74,0,0,0.1,0,3
4,11397.75,0,0,0.1,0,3
5,11504.26,0,0,0.1,0,2
6,11473.71,0,1,0.2,1,4
7,11585.12,0,1,0.2,1,4
8,11618.00,0,1,0.3,1,2
9,11634.53,0,1,0.3,1,3
10,11619.56,0,1,0.4,1,4
11,11593.40,0,1,0.4,1,3
12,11622.68,0,1,0.5,1,3
13,11618.15,0,1,0.5,1,6
14,11709.52,0,1,0.6,1,4
15,11654.52,0,1,0.6,1,3
16,11573.23,0,1,0.7,1,5
17,11652.71,0,1,0.7,1,5
18,11613.88,0,2,0.8,2,5
19,11657.96,0,2,0.8,2,5
20,11650.56,0,2,0.8,2,5
25,11663.42,0,2,1.3,2,6
30,11662.28,0,3,1.5,3,6
35,11654.04,0,3,1.5,3,7
40,11678.76,0,3,1.8,3,7
45,11664.17,0,4,2.0,4,9
50,11619.29,0,4,2.3,4,9
55,11645.83,0,5,3.4,5,10
60,11604.09,0,5,3.2,5,11
65,11714.96,0,6,3.6,6,12
70,11650.97,0,6,3.3,6,13
75,11654.93,0,6,3.7,6,14
80,11680.82,0,7,5.4,7,15
85,11711.47,0,7,4.2,7,15
90,11619.46,0,8,4.5,8,17
95,11642.66,0,8,4.7,8,17
100,11649.96,2,9,2.8,9,16
150,11666.37,0,13,9.2,12,27
200,11653.13,6,17,3.8,17,26
250,11625.29,6,21,8.9,21,36
300,11642.78,10,26,2.1,26,31
350,11645.54,12,30,2.0,30,35
400,11682.04,14,34,3.7,34,41
450,11598.49,14,39,7.2,39,51
500,11564.54,18,43,3.6,43,51
550,11563.18,17,47,3.6,48,55
600,11591.77,21,52,4.9,52,60
650,11579.30,20,56,10.3,53,72
700,11642.63,19,60,7.6,60,75
750,11579.87,25,64,4.1,65,75
800,11592.55,28,69,7.3,68,81
850,11565.08,28,73,6.8,73,84
900,11569.30,27,77,11.1,77,95
950,11549.19,32,82,6.8,81,96
