users,rps,min,avg,sd,median,max
1,1672.67,1,1,0.1,1,1
2,1824.55,1,1,0.1,1,3
3,1812.17,1,2,0.1,2,4
4,1816.65,1,2,0.1,2,4
5,1827.76,1,3,0.2,3,5
6,1836.07,1,3,0.2,3,6
7,1816.60,1,4,0.3,4,6
8,1785.22,1,4,0.3,4,8
9,1779.32,1,5,0.2,5,10
10,1801.19,1,6,0.3,5,9
11,1765.59,1,6,0.3,6,9
12,1835.58,1,7,0.3,6,10
13,1822.35,1,7,0.4,7,10
14,1805.13,1,8,0.4,8,10
15,1801.55,1,8,0.4,8,11
16,1808.95,1,9,0.4,9,12
17,1726.55,1,10,0.4,10,13
18,1775.43,1,10,0.4,10,13
19,1801.30,1,11,0.6,10,14
20,1801.07,2,11,0.5,11,14
25,1809.07,1,14,0.6,14,18
30,1803.60,1,17,0.7,16,21
35,1772.33,2,20,0.8,19,25
40,1808.32,2,22,0.7,22,27
45,1813.73,2,25,0.9,24,32
50,1784.68,2,28,1.0,28,35
55,1824.23,2,30,0.9,30,35
60,1794.66,3,33,1.0,33,38
65,1783.20,3,36,0.9,36,40
70,1811.92,2,39,0.8,39,42
75,1799.40,3,42,0.9,42,45
80,1823.90,3,44,1.0,44,48
85,1825.58,3,47,1.0,46,51
90,1841.97,3,49,1.0,49,52
95,1823.88,3,52,1.2,52,57
100,1826.35,3,55,1.2,55,58
150,1789.63,4,84,2.0,84,88
200,1825.73,6,109,2.9,109,115
250,1798.58,8,139,3.9,139,144
300,1818.93,7,165,37.2,165,1170
350,1828.85,12,191,6.3,191,199
400,1787.70,13,223,7.8,224,230
450,1845.13,16,243,9.0,244,252
500,1833.68,15,272,10.7,273,278
550,1847.54,19,297,12.0,298,310
600,1818.40,22,329,14.0,330,339
650,1827.22,19,355,15.4,355,378
700,1843.34,26,378,17.3,380,388
750,1794.47,25,416,19.4,418,439
800,1841.12,23,433,21.0,434,446
850,1756.48,26,482,24.1,483,502
900,1816.59,30,493,42.6,495,1499
950,1835.53,37,515,27.6,517,536
1000,1807.18,28,549,50.7,551,1552
