users,rps,min,avg,sd,median,max
1,7860.78,0,0,0.0,0,1
2,13067.14,0,0,0.0,0,0
3,15572.07,0,0,0.0,0,3
4,17014.69,0,0,0.0,0,3
5,18722.46,0,0,0.1,0,3
6,19976.19,0,0,0.1,0,3
7,21010.75,0,0,0.1,0,3
8,21967.40,0,0,0.1,0,3
9,22766.52,0,0,0.1,0,3
10,23276.15,0,0,0.1,0,3
11,23770.32,0,0,0.1,0,3
12,24270.97,0,0,0.1,0,4
13,24642.18,0,1,0.2,1,4
14,24822.00,0,1,0.2,1,3
15,25066.15,0,1,0.2,1,3
16,25002.58,0,1,0.2,1,4
17,25298.68,0,1,0.2,1,4
18,25448.28,0,1,0.3,1,4
19,25444.50,0,1,0.3,1,4
20,25474.68,0,1,0.3,1,4
25,25504.59,0,1,0.5,1,4
30,25536.30,0,1,0.6,1,4
35,25477.14,0,1,0.8,1,5
40,25518.22,0,2,1.0,1,6
45,25382.53,0,2,1.1,2,6
50,25324.34,0,2,1.3,2,8
55,25277.15,0,2,1.5,2,9
60,25367.20,0,2,1.7,2,10
65,25281.53,0,3,1.8,2,10
70,21747.79,0,3,2.2,3,22
75,22983.16,0,3,2.3,3,21
80,24323.34,0,3,2.4,3,24
85,25122.31,0,3,2.6,3,14
90,25231.61,0,4,2.9,3,15
95,25119.21,0,4,2.9,3,14
100,25187.22,0,4,3.2,3,17
150,25084.08,0,6,13.8,5,1009
200,24963.52,0,8,6.0,7,29
250,24953.42,0,10,7.4,9,33
300,24902.92,0,12,12.0,7,50
350,24923.33,0,14,10.9,12,45
400,24901.40,0,16,12.1,13,53
450,24990.97,0,18,14.0,16,63
500,24931.23,0,20,15.4,18,73
550,24953.69,0,22,17.3,17,71
600,24914.03,0,24,18.4,21,86
650,24806.62,0,26,21.4,20,90
700,24946.15,0,28,23.3,22,97
750,24883.51,0,30,23.6,25,103
800,24918.83,0,32,26.3,27,92
850,24853.43,0,34,23.0,33,88
900,24856.72,0,36,28.3,31,96
950,24945.48,0,37,36.8,25,140
1000,24769.38,0,40,24.9,37,103
