users,rps,min,avg,sd,median,max
1,2893.48,0,0,0.0,0,1
2,3333.57,0,1,0.0,1,2
3,3288.33,1,1,0.1,1,3
4,3266.82,1,1,0.1,1,2
5,3285.36,1,2,0.1,2,3
6,3199.87,0,2,0.1,2,4
7,3297.34,1,2,0.1,2,4
8,3321.27,1,2,0.1,2,4
9,3244.45,0,3,0.1,3,7
10,3321.61,1,3,0.2,3,5
11,3213.82,1,3,0.1,3,6
12,3315.72,1,4,0.2,4,7
13,3311.36,1,4,0.2,4,6
14,3305.14,1,4,0.2,4,5
15,3177.76,1,5,0.2,5,7
16,3292.41,1,5,0.3,5,8
17,3319.95,1,5,0.2,5,7
18,3291.98,1,5,0.3,5,7
19,3295.08,1,6,0.2,6,8
20,3295.96,1,6,0.2,6,9
25,3266.08,1,8,0.3,8,11
30,3294.29,1,9,0.4,9,12
35,3277.51,1,11,0.4,11,14
40,3309.06,1,12,0.4,12,15
45,3310.58,2,14,0.4,14,18
50,3327.92,2,15,0.4,15,18
55,3310.08,2,17,0.5,16,20
60,3187.37,2,19,0.6,19,23
65,3248.15,2,20,0.5,20,24
70,3255.80,2,21,0.7,21,25
75,3247.47,3,23,0.6,23,27
80,3252.19,2,25,0.6,24,28
85,3259.76,3,26,0.8,26,31
90,3284.11,3,27,0.8,27,31
95,3300.68,3,29,0.8,29,33
100,3292.65,3,30,0.9,30,35
150,3367.54,4,45,1.0,44,48
200,3320.05,6,60,1.5,60,64
250,3327.94,7,75,2.0,75,78
300,3331.78,9,90,2.6,90,97
350,3374.60,12,104,3.1,104,114
400,3371.41,13,118,3.9,118,125
450,3332.75,14,135,4.7,135,143
500,3293.44,17,151,5.6,152,163
550,3370.00,16,163,6.3,163,172
600,3346.17,19,179,7.2,179,187
650,3347.42,21,194,8.1,194,209
700,3350.83,18,208,9.1,209,219
750,3364.42,23,222,9.9,223,239
800,3372.56,26,236,10.6,237,257
850,3383.28,25,250,12.0,251,265
900,3354.94,27,267,13.3,268,280
950,3404.00,32,278,14.0,279,301
1000,3370.36,27,294,44.0,295,1300
