users,rps,min,avg,sd,median,max
1,3509.45,0,0,0.0,0,1
2,4192.87,0,0,0.0,0,2
3,4184.77,0,1,0.0,1,3
4,4209.53,1,1,0.0,1,3
5,4208.03,0,1,0.0,1,4
6,4173.10,0,1,0.0,1,3
7,4210.18,0,2,0.1,2,4
8,4164.51,1,2,0.1,2,4
9,4120.92,1,2,0.1,2,4
10,4210.76,1,2,0.1,2,5
11,4175.36,1,3,0.1,3,5
12,4207.65,1,3,0.1,3,6
13,4132.93,1,3,0.1,3,5
14,4223.15,1,3,0.1,3,5
15,4194.12,1,4,0.1,4,6
16,4200.51,1,4,0.1,4,7
17,4212.97,1,4,0.1,4,6
18,4188.28,1,4,0.1,4,6
19,4202.96,1,5,0.1,5,7
20,4198.83,1,5,0.1,5,7
25,4206.51,1,6,0.1,6,7
30,4194.16,1,7,0.2,7,9
35,4150.88,1,8,0.2,8,11
40,4179.51,2,10,0.2,10,12
45,4200.29,2,11,0.2,11,14
50,4199.27,2,12,0.2,12,15
55,4158.81,2,13,0.3,13,16
60,4182.39,2,14,0.3,14,17
65,4216.71,2,15,0.3,15,18
70,4178.12,3,17,0.3,17,18
75,4202.95,2,18,0.3,18,20
80,4174.49,3,19,0.3,19,22
85,4186.68,3,20,0.4,20,24
90,4188.06,3,21,0.4,21,24
95,4161.31,3,23,0.4,23,26
100,4192.23,3,24,0.5,24,27
150,4211.98,5,36,0.7,36,39
200,4264.15,6,47,1.1,47,51
250,4272.15,8,58,1.5,58,62
300,4185.78,9,72,2.0,72,77
350,4217.07,11,83,2.5,83,87
400,4286.42,15,93,2.9,93,102
450,4269.62,12,105,29.4,105,1107
500,4288.44,16,116,4.3,116,125
550,4279.06,24,128,4.7,128,135
600,4211.15,21,142,22.9,142,1145
650,4273.51,19,152,6.1,152,162
700,4283.11,20,163,7.0,163,173
750,4300.63,26,174,7.6,174,189
800,4270.41,29,187,8.5,187,197
850,4264.48,29,198,9.1,199,219
900,4294.69,29,209,9.7,209,224
950,4303.41,34,220,10.8,220,242
1000,4306.60,35,230,11.4,231,252
