users,rps,min,avg,sd,median,max
1,325.11,3,3,0.2,3,5
2,516.64,3,4,0.2,4,7
3,668.90,3,4,0.2,4,8
4,773.28,3,5,0.2,5,10
5,839.17,4,6,0.2,6,10
6,885.87,6,7,0.2,7,11
7,931.86,4,8,0.2,7,12
8,992.10,7,8,0.2,8,11
9,1024.97,8,9,0.2,9,11
10,1070.01,9,9,0.2,9,13
11,1085.84,8,10,0.3,10,12
12,1125.64,10,11,0.2,11,13
13,1123.57,11,12,0.3,12,15
14,1154.18,11,12,0.3,12,16
15,1158.36,12,13,0.2,13,15
16,1163.94,13,14,0.4,14,17
17,1193.84,14,14,0.3,14,18
18,1204.52,12,15,0.3,15,19
19,1226.15,14,15,0.3,16,21
20,1205.36,16,17,0.3,17,19
25,1260.43,17,20,0.4,20,24
30,1280.08,17,23,0.4,23,33
35,1291.34,26,27,0.5,27,32
40,1324.68,28,30,0.6,30,34
45,1334.79,29,34,0.6,34,36
50,1344.45,35,37,0.7,37,45
55,1343.55,36,41,0.8,41,48
60,1353.75,38,44,0.9,45,49
65,1351.16,42,48,0.9,48,53
70,1371.62,40,51,1.1,51,56
75,1392.13,50,54,1.4,54,59
80,1376.04,55,58,1.2,58,63
85,1397.74,57,61,1.5,61,66
90,1376.98,59,65,1.3,65,71
95,1390.20,62,68,1.2,68,75
100,1408.94,68,71,1.4,71,76
150,1393.14,91,108,2.4,107,116
200,1389.61,136,144,3.0,144,151
250,1405.53,171,178,2.9,177,190
300,1392.83,206,215,4.1,215,230
350,1397.38,229,250,19.2,249,1246
400,1338.14,286,299,5.0,300,313
450,1327.56,324,338,5.5,338,354
500,1339.97,360,373,5.0,372,392
550,1322.84,207,415,6.5,414,430
600,1314.33,443,456,6.0,455,473
650,1321.79,475,491,7.1,491,517
700,1319.73,377,530,7.8,531,549
750,1317.85,549,566,7.0,565,600
800,1328.34,540,602,9.9,603,625
850,1325.37,569,639,7.6,639,663
900,1340.63,634,666,12.3,667,698
950,1337.07,679,706,9.6,704,738
1000,1338.26,707,740,11.3,739,789
