users,rps,min,avg,sd,median,max
1,1016.49,1,1,0.2,1,21
2,2435.28,0,1,0.5,1,11
3,1906.51,1,2,0.8,2,12
4,2523.68,1,2,0.9,1,14
5,2596.95,1,2,1.1,1,15
6,2061.73,1,3,1.5,2,18
7,2281.19,1,3,1.7,2,16
8,2383.28,2,3,1.9,2,17
9,2767.73,2,3,1.8,2,17
10,2719.40,2,4,1.9,3,18
11,2785.59,2,4,2.1,3,18
12,2504.66,2,5,2.6,3,18
13,2594.97,2,5,2.7,3,20
14,2244.38,3,6,3.3,4,22
15,2205.75,3,7,3.6,4,24
16,2671.96,3,6,3.1,4,22
17,2576.56,3,7,3.6,4,24
18,2643.76,3,7,3.6,5,20
19,2731.90,4,7,3.8,5,27
20,2456.84,4,8,4.4,5,39
25,2418.42,5,10,5.6,7,33
30,2525.47,6,12,6.2,8,32
35,2547.28,7,14,7.3,9,37
40,2454.63,8,16,8.7,11,39
45,2699.41,5,17,8.6,12,46
50,2428.75,10,21,10.7,14,50
55,2271.70,11,24,12.6,16,50
60,2287.50,11,26,13.4,18,61
65,2446.00,11,27,13.9,18,68
70,2424.64,12,29,15.1,19,68
75,2322.97,15,32,16.3,22,70
80,2508.08,14,32,16.3,22,75
85,2328.12,13,36,18.6,25,79
90,2127.43,10,42,21.1,31,92
95,2431.04,13,39,19.8,27,85
100,2522.47,13,40,19.8,28,90
150,2259.68,10,66,32.8,47,137
200,2258.67,11,88,40.1,70,177
250,2086.28,11,120,54.7,94,232
300,2336.63,12,128,56.0,104,256
350,2197.85,14,159,72.1,126,291
400,2362.00,14,169,69.3,140,331
450,1954.57,16,230,93.6,211,369
500,2014.95,15,247,99.4,227,423
550,2222.44,19,247,102.1,210,452
600,2005.58,18,298,112.8,283,497
650,1908.53,25,340,123.8,333,530
700,1942.33,26,359,133.5,353,576
750,1978.57,21,378,133.3,370,605
800,1895.32,27,419,134.7,414,653
850,1987.15,27,425,138.5,404,694
900,2169.49,30,412,141.1,379,726
950,1804.11,34,523,162.2,526,782
