users,rps,min,avg,sd,median,max
1,1448.60,1,1,0.0,1,1
2,2262.05,0,1,0.1,1,2
3,9942.74,0,0,0.0,0,2
4,10804.48,0,0,0.1,0,2
5,11406.28,0,0,0.1,0,3
6,11925.22,0,1,0.1,0,4
7,12280.25,0,1,0.2,1,4
8,12532.35,0,1,0.2,1,2
9,12964.33,0,1,0.2,1,2
10,13137.83,0,1,0.2,1,4
11,13279.48,0,1,0.3,1,3
12,13519.81,0,1,0.3,1,5
13,13640.23,0,1,0.3,1,3
14,13830.16,0,1,0.3,1,6
15,13910.77,0,1,0.4,1,5
16,14086.49,0,1,0.4,1,6
17,14320.43,0,1,0.4,1,5
18,14161.13,0,1,0.5,1,5
19,14255.95,0,1,0.5,1,5
20,14479.99,0,1,0.5,1,5
25,13935.63,0,2,0.7,2,6
30,13873.29,0,2,1.0,2,10
35,13730.56,0,3,1.3,2,10
40,13868.51,0,3,1.7,2,12
45,13723.48,0,3,2.0,3,14
50,13878.72,0,4,2.2,3,15
55,13752.92,0,4,3.2,3,22
60,13752.89,0,4,3.4,3,22
65,13748.77,0,5,3.3,4,21
70,13660.96,0,5,4.0,4,24
75,13640.29,0,5,4.0,5,28
80,13674.92,0,6,4.9,4,28
85,13758.78,0,6,4.7,5,26
90,13663.57,0,7,6.0,4,35
95,13713.37,0,7,6.3,5,37
100,13762.65,0,7,6.0,6,35
150,13810.88,0,11,10.2,8,57
200,13698.82,0,15,12.4,12,58
250,13602.21,0,18,17.2,11,76
300,13546.64,0,22,20.0,15,79
350,13509.85,1,26,17.7,25,92
400,13642.65,0,29,33.1,16,124
450,13493.87,0,33,27.1,25,98
500,13462.57,0,37,28.1,29,91
550,13396.54,1,41,28.1,39,133
600,13416.93,0,44,40.9,32,141
650,13433.61,0,48,26.2,52,106
700,13431.64,1,52,30.0,48,138
750,13380.97,0,56,31.8,54,136
800,13419.65,1,59,38.7,56,186
850,13398.80,0,63,36.0,64,153
900,13433.81,0,66,41.9,68,150
950,13336.71,0,71,31.2,74,141
