users,rps,min,avg,sd,median,max
1,2223.70,0,0,0.1,0,11
2,3410.64,0,1,0.1,1,4
3,3670.98,1,1,0.1,1,5
4,4021.47,1,1,0.1,1,7
5,4222.22,1,1,0.1,1,8
6,4279.71,1,1,0.2,1,15
7,4474.88,1,2,0.2,2,11
8,4587.13,1,2,0.1,2,5
9,4612.80,1,2,0.1,2,6
10,4691.76,1,2,0.2,2,12
11,4749.02,1,2,0.2,2,6
12,4814.25,1,2,0.2,2,5
13,4843.87,1,3,0.2,3,13
14,4921.48,1,3,0.2,3,13
15,4912.29,1,3,0.2,3,10
16,4999.95,2,3,0.3,3,11
17,5058.33,2,3,0.4,3,7
18,5045.91,2,4,0.4,4,10
19,5075.40,2,4,0.4,4,13
20,5116.26,2,4,0.4,4,10
25,5256.08,2,5,0.9,5,9
30,5308.49,2,6,1.2,6,17
35,5304.18,2,7,1.4,7,12
40,5338.51,3,7,1.7,8,14
45,5380.63,3,8,1.9,8,16
50,5406.66,3,9,2.3,10,18
55,5443.35,4,10,2.5,11,18
60,5443.15,3,11,2.7,12,21
65,5423.01,4,12,2.8,13,21
70,5485.04,4,13,3.0,14,21
75,5407.06,5,14,3.2,15,22
80,5499.15,6,15,3.3,16,24
85,5539.00,5,15,3.5,16,23
90,5539.33,6,16,3.6,17,26
95,5503.55,6,17,3.8,18,27
100,5532.62,6,18,4.0,19,27
150,5564.28,9,27,5.4,28,45
200,5673.06,12,35,7.5,37,55
250,5596.08,16,45,9.0,47,71
300,5723.67,20,52,12.0,54,88
350,5523.20,27,63,13.1,67,104
400,5664.35,27,70,16.8,72,117
450,5693.02,28,79,19.9,80,135
500,5650.64,37,88,21.7,89,152
550,5597.44,34,98,16.0,100,142
600,5629.68,44,106,21.6,114,176
650,5553.13,56,117,24.4,122,175
700,5571.65,69,125,25.7,135,185
750,5515.78,75,135,27.7,124,204
800,5605.79,89,142,28.5,160,210
850,5572.61,92,152,28.0,169,234
900,5536.83,98,162,26.2,174,261
950,5556.39,100,170,22.8,178,244
