users,rps,min,avg,sd,median,max
1,2814.53,0,0,0.0,0,1
2,4097.16,0,0,0.0,0,2
3,4493.75,0,1,0.2,1,3
4,4501.43,0,1,0.3,1,3
5,4520.34,0,1,0.5,1,4
6,4467.68,0,1,0.5,1,4
7,4503.86,0,2,0.7,2,5
8,4508.92,0,2,0.7,2,4
9,4473.42,0,2,1.0,2,6
10,4487.23,0,2,1.0,2,6
11,4491.95,0,2,1.4,2,7
12,4510.16,0,3,1.3,3,7
13,4503.01,0,3,1.5,3,8
14,4516.53,0,3,1.9,3,8
15,4471.80,0,3,2.0,3,8
16,4494.95,0,4,2.1,4,9
17,4510.51,0,4,2.6,4,10
18,4512.59,0,4,2.1,4,9
19,4494.77,0,4,2.2,4,10
20,4518.63,0,4,3.6,4,11
25,4504.21,0,6,3.4,6,13
30,4500.50,0,7,3.9,7,15
35,4468.96,0,8,6.1,8,18
40,4477.97,0,9,6.3,9,19
45,4470.32,0,10,9.2,10,23
50,4481.79,0,11,8.4,11,24
55,4465.05,0,12,10.5,12,27
60,4461.61,0,13,8.1,13,27
65,4469.00,0,15,9.1,15,32
70,4479.01,0,16,13.8,15,33
75,4465.14,0,17,15.2,16,35
80,4498.78,0,18,15.8,18,36
85,4542.07,0,19,16.8,19,40
90,4476.76,0,20,9.6,20,42
95,4541.46,0,21,14.8,20,42
100,4510.88,2,22,12.9,23,43
150,4535.84,4,33,3.8,34,43
200,4547.14,6,44,5.1,44,54
250,4574.06,9,55,4.4,55,66
300,4570.48,9,66,8.2,66,80
350,4590.62,9,76,27.7,77,117
400,4573.06,12,87,8.6,87,106
450,4557.48,13,98,11.9,98,124
500,4594.67,17,109,8.6,109,125
550,4560.82,18,120,11.7,120,140
600,4556.98,19,131,9.1,132,149
650,4547.33,18,142,10.9,143,162
700,4568.09,21,153,10.0,154,179
750,4553.65,25,164,35.3,166,229
800,4563.37,25,175,12.8,176,201
850,4560.04,28,186,22.5,187,221
900,4531.32,29,198,38.4,200,267
950,4580.55,31,206,44.7,206,283
1000,4592.71,34,216,21.0,217,260
