users,rps,min,avg,sd,median,max
1,604.19,1,2,0.9,1,7
2,1505.50,1,1,0.3,1,8
3,1660.51,1,2,0.5,2,9
4,2031.27,1,2,0.4,2,11
5,2213.31,1,2,0.5,2,11
6,2514.94,1,2,0.5,2,11
7,2638.71,1,3,0.5,3,12
8,2848.28,1,3,0.6,3,12
9,2949.98,1,3,0.6,3,12
10,3075.25,1,3,0.6,3,13
11,3127.84,2,4,0.7,3,12
12,3235.12,1,4,0.8,4,13
13,3307.38,2,4,0.8,4,14
14,3379.49,2,4,0.9,4,17
15,3450.41,2,4,1.0,4,13
16,3536.15,2,5,1.0,4,13
17,3570.23,2,5,1.1,5,16
18,3679.02,2,5,1.2,5,13
19,3710.00,2,5,1.2,5,15
20,3722.19,1,5,1.4,5,14
25,3917.69,2,6,1.7,6,16
30,4073.50,2,7,2.0,7,17
35,4229.52,2,8,2.1,8,21
40,4329.68,2,9,2.6,9,22
45,4469.95,2,10,2.6,10,23
50,4536.78,2,11,3.2,11,32
55,4620.44,2,12,3.4,12,28
60,4670.70,2,13,3.6,13,33
65,4706.38,2,14,3.9,14,39
70,4726.42,2,15,4.1,14,36
75,4807.83,3,16,3.8,15,37
80,4838.04,2,17,4.0,16,39
85,4861.53,2,17,4.2,17,44
90,4887.91,2,18,5.5,18,47
95,4938.35,5,19,4.6,19,45
100,4942.68,2,20,5.6,20,45
150,5018.38,2,30,8.8,29,71
200,5077.22,1,39,14.8,39,94
250,5026.34,2,50,26.7,48,123
300,5007.77,1,60,38.4,59,158
350,5047.79,1,69,37.4,68,165
400,5065.81,1,79,29.7,78,164
450,5031.57,1,89,44.3,88,195
500,5011.54,1,99,49.9,98,240
550,5070.56,1,108,59.2,105,247
600,4966.31,1,120,76.8,116,1147
650,5043.40,1,128,71.7,125,289
700,5061.82,1,138,97.2,117,1407
750,4954.91,1,150,106.6,151,342
800,4921.74,1,161,126.8,156,433
850,4951.63,1,170,132.9,162,450
900,4888.93,1,183,146.5,177,461
950,4950.90,1,190,135.0,173,486
