users,rps,min,avg,sd,median,max
1,8085.85,0,0,0.0,0,2
2,14148.98,0,0,0.0,0,2
3,15524.66,0,0,0.0,0,2
4,15786.83,0,0,0.0,0,1
5,16011.35,0,0,0.0,0,2
6,15681.15,0,0,0.0,0,2
7,15930.34,0,0,0.0,0,3
8,15785.03,0,1,0.0,1,2
9,15691.45,0,1,0.0,1,1
10,15743.04,0,1,0.1,1,3
11,16265.65,0,1,0.0,1,2
12,16209.25,0,1,0.0,1,2
13,15634.90,0,1,0.1,1,3
14,16464.72,1,1,0.0,1,2
15,15562.53,0,1,0.0,1,2
16,15644.29,0,1,0.1,1,2
17,15864.31,0,1,0.1,1,3
18,16187.37,0,1,0.1,1,3
19,16117.96,0,1,0.1,1,3
20,16064.86,0,1,0.1,1,3
25,16190.02,0,2,0.1,2,4
30,15610.76,0,2,0.1,2,3
35,16609.68,1,2,0.1,2,3
40,15752.77,0,3,0.1,3,5
45,16222.11,1,3,0.1,3,4
50,15719.79,1,3,0.2,3,6
55,16003.90,2,3,0.2,3,5
60,16027.07,0,4,0.2,4,7
65,15898.95,1,4,0.2,4,8
70,15462.25,0,5,0.2,5,8
75,15453.13,2,5,0.2,5,6
80,15950.13,3,5,0.3,5,7
85,15335.22,2,6,0.3,6,8
90,16187.72,2,6,0.3,5,9
95,16186.78,2,6,0.5,6,10
100,15836.66,2,6,0.3,6,11
150,16397.45,4,9,0.5,9,12
200,16272.92,6,12,0.9,12,16
250,15350.86,8,16,0.6,16,19
300,16189.70,8,18,1.2,19,23
350,15859.01,10,22,1.6,22,26
400,15881.61,13,25,1.7,26,29
450,15978.13,13,28,1.8,28,35
500,16226.31,14,31,1.6,30,35
550,15732.78,16,35,2.1,36,42
600,15467.20,17,39,2.0,40,46
650,15717.08,19,41,35.0,41,1042
700,15819.07,20,44,2.8,45,49
750,15939.72,22,47,3.1,48,56
800,15769.73,23,50,3.1,51,55
850,15845.32,29,53,3.4,53,58
900,16338.49,25,55,3.8,54,66
950,15452.88,27,61,3.7,63,64
1000,15727.16,28,63,4.1,64,69
