users,rps,min,avg,sd,median,max
1,946.81,0,1,0.2,1,21
2,1573.44,0,1,0.2,1,11
3,6394.53,0,0,0.1,0,8
4,6812.51,0,1,0.2,1,11
5,6815.66,0,1,0.3,1,14
6,6808.58,0,1,0.4,1,10
7,6808.24,0,1,0.5,1,11
8,6861.15,0,1,0.6,1,12
9,6890.13,0,1,0.7,1,12
10,6880.32,0,1,0.8,1,11
11,6779.17,0,2,1.0,2,10
12,6890.25,0,2,1.1,2,12
13,6806.07,0,2,1.2,2,18
14,6838.55,0,2,1.4,2,18
15,6780.02,0,2,1.5,2,13
16,6781.31,0,2,1.6,2,11
17,6796.49,0,3,1.8,2,22
18,6744.17,0,3,1.9,3,14
19,6781.19,0,3,2.0,3,12
20,6733.44,0,3,2.2,3,22
25,6793.34,0,4,2.6,4,16
30,6795.96,0,4,3.2,4,20
35,6774.62,0,5,3.9,5,22
40,6751.78,0,6,4.4,6,23
45,6739.65,0,7,5.1,7,26
50,6796.08,0,7,5.7,7,24
55,6755.31,0,8,6.0,8,19
60,6751.87,0,9,6.7,9,32
65,6799.99,0,10,7.1,9,27
70,6784.69,0,10,7.3,10,27
75,6766.84,0,11,8.1,11,29
80,6765.59,0,12,8.6,12,33
85,6794.82,0,12,8.9,12,30
90,6783.75,0,13,10.0,13,33
95,6791.00,0,14,9.7,14,34
100,6762.35,0,15,9.6,15,46
150,6835.98,0,22,13.6,22,47
200,6860.15,0,29,20.5,29,62
250,6871.64,0,36,24.5,36,82
300,6866.56,0,44,29.9,44,97
350,6877.62,0,51,31.2,51,108
400,6825.20,0,58,39.9,58,123
450,6848.46,0,66,39.3,65,137
500,6836.67,0,73,40.1,73,151
550,6837.51,0,80,54.0,80,166
600,6882.48,0,87,56.8,86,183
650,6851.66,0,94,57.2,93,195
700,6905.30,0,101,75.1,101,211
750,6857.12,0,109,58.1,108,223
800,6872.20,0,116,78.4,115,237
850,6844.16,0,124,46.1,123,259
900,6883.41,0,130,55.5,129,271
950,6881.62,0,137,67.6,136,276
