users,rps,min,avg,sd,median,max
1,1210.15,1,1,0.0,1,3
2,1267.88,1,2,0.1,2,4
3,1257.23,1,2,0.2,2,5
4,1260.93,1,3,0.2,3,6
5,1265.98,1,4,0.2,4,6
6,1252.15,1,5,0.3,5,7
7,1268.74,1,6,0.2,5,8
8,1258.79,1,6,0.4,6,9
9,1213.65,2,7,0.3,7,10
10,1253.23,1,8,0.4,8,12
11,1225.66,1,9,0.4,9,12
12,1261.90,1,10,0.4,9,12
13,1270.39,1,10,0.4,10,13
14,1238.23,1,11,0.5,11,15
15,1262.38,2,12,0.4,12,15
16,1266.82,1,13,0.6,12,17
17,1271.65,2,13,0.5,13,18
18,1267.12,2,14,0.6,14,19
19,1261.17,2,15,0.7,15,20
20,1268.90,1,16,0.6,16,21
25,1233.34,2,20,0.8,20,26
30,1256.64,2,24,0.9,23,31
35,1254.69,2,28,0.9,27,36
40,1242.58,2,32,0.9,32,37
45,1239.20,2,36,1.0,36,40
50,1236.08,2,40,0.9,40,44
55,1241.21,3,44,0.9,44,48
60,1241.50,3,48,1.1,48,52
65,1240.66,3,52,1.1,52,57
70,1244.67,3,56,1.2,56,61
75,1246.72,3,60,1.3,60,64
80,1233.02,3,65,1.3,65,69
85,1231.40,3,69,1.5,69,74
90,1222.41,3,74,1.6,74,79
95,1237.73,3,77,1.7,77,82
100,1233.59,3,81,1.8,81,86
150,1252.52,5,120,2.9,120,127
200,1239.37,6,161,4.3,161,167
250,1247.72,8,200,5.8,200,208
300,1264.11,10,237,7.4,237,244
350,1251.40,13,279,9.3,280,288
400,1236.68,13,323,11.4,323,335
450,1255.22,15,358,13.4,358,366
500,1237.84,17,403,15.9,404,413
550,1263.42,14,434,45.0,435,1439
600,1258.04,19,475,20.1,477,489
650,1265.40,25,512,22.9,513,527
700,1258.24,21,554,25.5,556,569
750,1261.82,20,592,50.4,594,1595
800,1238.56,27,643,31.8,646,656
850,1269.67,28,667,34.0,669,689
900,1262.54,33,710,37.0,712,736
950,1267.93,25,746,40.3,749,767
1000,1266.68,35,783,42.6,786,819
