users,rps,min,avg,sd,median,max
1,3039.41,0,0,0.1,0,7
2,4871.85,0,0,0.1,0,4
3,5403.64,0,1,0.1,1,4
4,6312.73,0,1,0.2,1,4
5,6745.12,0,1,0.2,1,4
6,6970.58,0,1,0.3,1,11
7,7043.89,0,1,0.4,1,6
8,7175.76,0,1,0.4,1,5
9,7310.61,0,1,0.5,1,5
10,7390.44,0,1,0.5,1,5
11,7548.80,0,1,0.6,1,6
12,7601.78,0,2,0.6,1,6
13,7657.52,0,2,0.7,2,9
14,7699.36,0,2,0.8,2,9
15,7695.91,0,2,0.8,2,7
16,7611.45,0,2,0.9,2,9
17,7725.25,0,2,1.0,2,21
18,7615.56,0,2,1.1,2,12
19,7662.14,0,2,1.3,2,13
20,7791.64,0,3,1.3,2,15
25,7810.32,0,3,2.0,3,20
30,7865.51,0,4,2.4,3,20
35,7837.57,0,4,3.1,4,22
40,7824.03,0,5,3.8,4,28
45,7890.71,0,6,4.4,4,30
50,7878.04,0,6,5.0,5,31
55,7868.54,0,7,5.9,5,39
60,7851.50,0,8,6.1,6,43
65,7894.94,0,8,7.4,6,44
70,7921.57,0,9,6.9,7,43
75,7902.37,0,9,7.2,7,39
80,7809.29,1,10,9.0,8,60
85,7939.18,0,11,8.4,8,50
90,7891.71,0,11,9.8,8,64
95,7858.19,1,12,9.5,9,48
100,7956.44,0,13,11.7,9,68
150,7823.72,1,19,18.9,13,117
200,8000.33,1,25,20.2,19,115
250,7967.25,1,31,22.5,26,129
300,7867.02,1,38,27.1,33,166
350,7997.25,1,44,29.7,37,194
400,7967.14,1,50,32.7,43,204
450,7992.12,1,56,27.8,53,214
500,8036.47,1,62,24.3,61,155
550,7972.52,5,69,29.2,65,221
600,7945.32,8,75,30.2,72,221
650,8001.00,5,81,29.2,80,217
700,8022.39,1,87,34.0,86,245
750,8044.13,13,93,35.1,90,225
800,7993.96,1,100,40.4,97,295
850,8021.38,15,105,38.6,105,270
900,8040.57,6,111,42.7,110,303
950,7868.94,1,120,49.8,121,294
