users,rps,min,avg,sd,median,max
1,683.47,1,1,0.1,1,7
2,2283.62,0,1,0.5,1,5
3,3407.60,1,1,0.3,1,6
4,2744.46,1,1,0.7,1,5
5,3988.01,1,1,0.5,1,6
6,4627.66,1,1,0.4,1,5
7,5026.37,1,1,0.3,1,7
8,4954.10,1,2,0.5,2,8
9,5124.43,1,2,0.5,2,8
10,5318.59,1,2,0.5,2,10
11,4926.92,1,2,0.8,2,9
12,5253.59,1,2,0.7,2,13
13,5090.21,1,3,0.9,2,10
14,5691.04,1,2,0.6,2,10
15,5696.04,1,3,0.8,2,11
16,5059.38,1,3,1.2,3,14
17,5821.62,1,3,0.8,3,11
18,6057.01,1,3,0.8,3,15
19,5976.33,1,3,1.0,3,14
20,6189.85,1,3,0.8,3,12
25,6322.41,2,4,0.9,4,13
30,6369.77,2,5,1.2,5,20
35,6427.06,2,5,1.3,6,17
40,6438.11,2,6,1.5,6,18
45,6371.94,2,7,1.7,7,22
50,6432.69,3,8,1.9,8,24
55,6488.50,3,8,2.0,9,22
60,6527.92,3,9,2.1,10,23
65,6693.14,3,10,2.4,10,25
70,6571.09,3,11,2.6,11,26
75,6742.69,4,11,2.6,11,27
80,6672.10,4,12,2.7,12,27
85,6720.22,4,13,2.8,13,27
90,6590.98,4,14,3.0,15,35
95,6790.37,5,14,3.0,14,28
100,6875.13,4,15,3.2,15,33
150,7253.64,7,21,4.5,22,44
200,7061.52,11,28,6.4,29,51
250,6934.22,11,36,8.0,38,67
300,7033.05,17,43,9.6,44,72
350,6967.37,20,50,11.4,52,86
400,6932.48,22,58,14.1,59,100
450,6925.58,23,65,15.7,68,110
500,7027.38,25,71,16.4,74,133
550,6892.37,30,80,18.4,85,146
600,7019.65,35,85,15.8,88,141
650,6924.56,43,94,18.0,97,136
700,7059.63,55,99,19.1,103,168
750,7001.17,62,107,20.9,108,154
800,6951.19,73,114,21.6,110,164
850,6983.07,71,121,22.3,132,185
900,7018.11,81,128,21.9,137,228
950,6945.32,82,136,20.8,144,229
