users,rps,min,avg,sd,median,max
1,1650.92,1,1,0.0,1,2
2,2377.92,1,1,0.1,1,4
3,2494.99,1,1,0.3,1,4
4,2494.71,1,2,0.5,2,5
5,2473.24,1,2,0.7,2,6
6,2499.23,1,2,0.9,2,6
7,2487.20,1,3,1.1,3,7
8,2503.24,1,3,1.4,3,8
9,2506.04,1,4,1.6,4,9
10,2502.37,1,4,2.0,4,10
11,2501.61,1,4,2.0,4,11
12,2479.23,1,5,2.6,5,11
13,2486.37,1,5,2.8,5,12
14,2495.15,1,6,2.9,6,13
15,2471.21,1,6,2.9,6,14
16,2497.12,1,6,3.4,6,15
17,2489.79,1,7,3.4,7,15
18,2502.09,1,7,4.1,7,16
19,2477.61,1,8,4.8,8,17
20,2496.11,1,8,4.5,8,18
25,2507.33,1,10,6.0,10,22
30,2474.56,1,12,10.1,12,26
35,2461.03,1,14,11.1,14,39
40,2472.96,1,16,7.2,16,33
45,2498.61,1,18,14.2,18,38
50,2546.66,1,20,16.1,19,40
55,2521.90,1,22,11.7,22,44
60,2545.66,1,24,13.7,24,47
65,2520.11,1,26,10.1,26,51
70,2525.38,1,28,23.1,28,60
75,2558.43,1,29,24.8,30,61
80,2557.26,1,31,19.4,32,64
85,2571.42,1,33,21.2,34,75
90,2553.12,3,35,5.2,36,48
95,2574.98,3,37,18.5,37,70
100,2556.51,1,39,26.9,39,81
150,2566.27,5,58,14.9,58,94
200,2563.50,6,78,15.0,78,108
250,2584.21,7,97,18.2,98,127
300,2563.59,9,117,53.8,117,190
350,2564.90,1,136,82.1,132,277
400,2570.76,12,155,71.1,158,292
450,2573.91,14,174,65.0,176,303
500,2582.04,17,193,29.6,198,237
550,2576.05,16,213,15.5,213,259
600,2600.56,20,230,37.8,231,315
650,2582.31,1,250,163.8,250,507
700,2577.23,23,271,15.1,272,297
750,2564.48,23,291,103.6,292,469
800,2572.93,24,309,87.2,310,442
850,2577.99,26,328,71.9,309,1346
900,2592.47,30,345,73.0,343,460
950,2589.13,31,365,31.2,367,412
1000,2598.73,38,381,27.9,383,443
