users,rps,min,avg,sd,median,max
1,212.53,4,5,0.2,5,6
2,357.53,5,6,0.2,6,10
3,456.90,5,7,0.3,7,10
4,510.11,5,8,0.3,8,12
5,577.70,6,9,0.3,9,15
6,621.21,7,10,0.3,10,17
7,650.48,9,11,0.3,11,15
8,687.79,11,12,0.3,12,14
9,708.77,11,13,0.4,13,15
10,735.81,13,14,0.3,14,17
11,755.56,13,15,0.3,15,17
12,763.47,15,16,0.5,16,19
13,790.48,15,16,0.4,16,19
14,789.10,17,18,0.3,18,23
15,816.13,18,18,0.3,18,21
16,814.24,19,20,0.3,20,24
17,829.75,20,20,0.4,20,23
18,844.55,20,21,0.4,21,25
19,863.27,20,22,0.4,22,26
20,862.14,22,23,0.4,23,26
25,891.75,27,28,0.4,28,31
30,903.67,32,33,0.4,33,36
35,918.46,37,38,0.4,38,42
40,935.06,40,43,0.6,43,47
45,956.02,45,47,0.7,47,51
50,949.26,50,53,0.8,53,57
55,950.40,54,58,0.9,58,63
60,969.10,58,62,0.8,62,67
65,960.56,64,68,0.9,68,72
70,993.54,66,70,1.0,70,76
75,958.19,74,78,1.1,78,83
80,960.75,78,83,1.1,83,89
85,965.32,84,88,1.2,88,93
90,1000.22,87,90,1.3,90,96
95,972.07,93,98,1.2,98,105
100,980.62,99,102,1.3,102,107
150,983.65,146,152,2.0,152,159
200,990.19,192,202,3.4,202,214
250,980.44,248,255,3.1,255,268
300,975.10,212,307,31.0,307,1311
350,963.61,353,363,4.3,363,378
400,954.31,332,419,6.7,419,438
450,930.94,468,482,5.2,481,495
500,928.02,495,539,5.3,538,554
550,916.00,510,598,29.3,597,1608
600,945.97,616,633,7.7,633,655
650,926.00,646,701,6.7,700,718
700,919.70,742,760,6.8,760,783
750,925.15,620,809,44.5,808,1791
800,939.83,828,851,12.1,849,893
850,907.76,896,933,8.1,933,968
900,929.90,941,960,8.8,960,1003
950,934.12,988,1010,8.4,1010,1037
1000,950.06,1004,1042,16.1,1039,1166
