users,rps,min,avg,sd,median,max
1,2733.53,0,0,0.0,0,1
2,4150.27,0,0,0.0,0,1
3,4978.38,0,1,0.0,1,1
4,5422.66,0,1,0.0,1,2
5,5736.64,1,1,0.0,1,2
6,6178.20,1,1,0.1,1,3
7,6173.77,1,1,0.1,1,3
8,6335.54,1,1,0.1,1,3
9,6535.12,1,1,0.1,1,2
10,6860.98,1,1,0.1,1,3
11,6811.98,1,2,0.1,2,3
12,7015.63,1,2,0.2,2,3
13,7112.92,1,2,0.2,2,4
14,7262.41,1,2,0.2,2,4
15,6895.96,1,2,0.2,2,4
16,7082.26,1,2,0.2,2,4
17,7281.18,1,2,0.2,2,4
18,7497.06,2,2,0.2,2,4
19,7315.88,2,3,0.3,3,5
20,7247.43,1,3,0.3,3,5
25,7232.34,2,3,0.3,3,6
30,7611.01,1,4,0.4,4,6
35,7397.03,3,5,0.4,5,8
40,7656.73,2,5,0.5,5,9
45,6730.44,2,7,0.5,7,12
50,7006.01,1,7,0.6,7,11
55,7639.66,2,7,0.7,7,11
60,8346.83,7,7,0.3,7,11
65,8026.55,3,8,0.6,8,12
70,7624.73,4,9,1.0,9,13
75,7735.36,8,10,0.8,9,14
80,8054.78,8,10,0.7,10,14
85,8137.93,9,10,0.7,10,15
90,8260.66,10,11,0.7,11,15
95,7229.90,9,13,1.3,14,18
100,7248.08,4,14,1.3,14,19
150,7175.93,16,21,2.0,22,26
200,7652.65,21,26,2.3,27,35
250,7742.72,26,32,3.1,31,45
300,7504.41,34,40,3.6,40,53
350,6961.51,39,50,4.1,52,65
400,7340.95,13,54,3.7,55,65
450,7497.24,50,60,4.2,61,80
500,7416.23,59,67,3.5,68,80
550,7169.21,65,77,4.6,75,100
600,7148.09,28,84,4.6,82,106
650,7215.83,75,90,5.5,89,106
700,7196.86,22,97,4.9,95,113
750,7143.90,91,104,6.6,103,137
800,7057.37,97,113,7.0,111,148
850,7164.82,102,118,5.8,116,136
900,7185.61,106,124,8.2,123,143
950,7105.35,35,133,8.6,131,168
