users,rps,min,avg,sd,median,max
1,312.38,3,3,0.2,3,5
2,565.86,3,4,0.6,4,8
3,712.15,3,4,0.7,4,10
4,868.49,3,5,0.7,5,11
5,966.71,4,5,0.8,5,12
6,1085.11,3,6,0.8,5,13
7,1145.98,4,6,0.9,6,15
8,1235.10,4,6,0.8,6,14
9,1273.23,4,7,0.9,7,15
10,1344.02,5,7,0.8,7,20
11,1390.06,5,8,1.0,8,22
12,1438.86,4,8,1.0,8,17
13,1480.56,5,9,1.1,9,19
14,1507.37,6,9,1.3,9,19
15,1545.35,6,10,1.3,10,20
16,1581.56,6,10,1.4,10,22
17,1602.64,6,11,1.5,11,22
18,1627.82,6,11,1.6,11,23
19,1675.80,6,11,1.7,11,30
20,1674.60,7,12,1.8,12,25
25,1759.84,8,14,2.6,14,28
30,1848.47,9,16,3.1,16,35
35,1917.10,9,18,3.6,18,34
40,2008.73,8,20,4.2,20,41
45,2031.68,11,22,4.3,22,41
50,2075.45,11,24,4.7,24,41
55,2108.06,12,26,5.1,26,49
60,2135.50,12,28,6.0,28,55
65,2173.75,12,30,6.3,30,61
70,2185.87,12,32,7.3,32,63
75,2202.94,12,34,8.8,34,75
80,2220.08,12,36,8.4,36,71
85,2246.41,15,38,8.3,38,69
90,2261.05,15,40,8.7,40,71
95,2287.72,17,42,8.2,41,83
100,2287.88,15,44,9.5,44,95
150,2366.41,7,63,14.4,63,115
200,2404.10,17,83,22.1,83,162
250,2447.16,22,102,35.3,102,191
300,2462.95,15,122,52.8,123,253
350,2476.06,32,141,63.4,140,265
400,2464.75,27,162,75.1,157,316
450,2443.19,16,184,102.1,182,387
500,2401.84,16,208,140.2,196,424
550,2428.26,26,226,142.2,219,469
600,2391.28,20,250,190.5,241,535
650,2420.44,16,267,181.8,259,561
700,2390.18,20,291,222.9,283,605
750,2356.76,11,316,256.1,306,659
800,2405.41,26,330,234.9,330,656
850,2400.34,7,352,263.8,349,740
900,2389.13,20,374,181.5,375,752
950,2363.78,4,398,297.5,384,866
1000,2420.89,24,408,174.7,407,804
