users,rps,min,avg,sd,median,max
1,7929.44,0,0,0.0,0,2
2,13668.43,0,0,0.0,0,2
3,15590.50,0,0,0.0,0,2
4,20136.48,0,0,0.0,0,2
5,21057.86,0,0,0.1,0,2
6,22992.57,0,0,0.1,0,3
7,23763.92,0,0,0.1,0,3
8,23971.42,0,0,0.1,0,2
9,23985.06,0,0,0.1,0,2
10,24310.94,0,0,0.1,0,2
11,24210.31,0,0,0.2,0,3
12,24123.25,0,0,0.2,0,3
13,24316.03,0,1,0.2,1,3
14,24091.55,0,1,0.3,1,3
15,23812.00,0,1,0.3,1,3
16,24356.76,0,1,0.3,1,3
17,24382.41,0,1,0.3,1,3
18,23873.52,0,1,0.4,1,4
19,24265.00,0,1,0.3,1,3
20,24295.20,0,1,0.3,1,4
25,24427.00,0,1,0.5,1,4
30,24493.85,0,1,0.6,1,4
35,24413.06,0,1,0.7,1,4
40,24580.29,0,2,0.9,2,5
45,24509.26,0,2,0.9,2,6
50,24219.30,0,2,1.1,2,6
55,24243.77,0,2,1.2,2,7
60,24130.27,0,2,1.4,2,7
65,23929.82,0,3,1.5,3,8
70,24265.50,0,3,1.8,3,8
75,24118.74,0,3,1.6,3,9
80,24152.86,0,3,2.0,3,9
85,24235.82,0,4,1.7,4,8
90,24083.68,0,4,1.8,4,11
95,23971.79,0,4,2.3,4,9
100,24364.90,0,4,2.4,4,11
150,24307.50,0,6,3.3,5,15
200,24194.56,0,8,4.0,8,19
250,23711.34,0,11,5.6,10,23
300,23895.20,0,13,7.2,12,30
350,23960.17,0,15,9.2,15,31
400,23715.00,0,17,9.1,16,38
450,23717.30,4,19,9.9,19,36
500,23826.26,8,21,6.5,21,34
550,24040.83,0,23,11.6,22,51
600,23657.10,18,25,2.8,25,34
650,23510.25,15,28,4.4,28,38
700,23957.42,0,29,9.8,29,65
750,23738.11,2,31,19.4,28,66
800,23819.32,9,33,16.3,33,59
850,23646.87,21,36,4.1,36,50
900,23858.95,20,37,9.3,36,55
950,23615.30,20,40,10.2,43,69
1000,23505.40,5,42,18.1,42,86
