users,rps,min,avg,sd,median,max
1,4277.42,0,0,0.0,0,1
2,5359.97,0,0,0.0,0,3
3,5394.43,0,1,0.0,1,3
4,5406.64,1,1,0.1,1,3
5,5384.41,0,1,0.1,1,3
6,5370.11,1,1,0.1,1,3
7,5388.84,0,1,0.1,1,4
8,5373.74,0,1,0.1,1,4
9,5347.92,0,2,0.1,2,4
10,5331.60,0,2,0.1,2,4
11,5376.49,1,2,0.1,2,3
12,5339.95,0,2,0.1,2,5
13,5352.23,0,2,0.2,2,9
14,5355.04,1,3,0.2,3,4
15,5286.29,0,3,0.2,3,6
16,5322.19,1,3,0.2,3,5
17,5363.32,0,3,0.2,3,7
18,5348.98,0,3,0.2,3,7
19,5391.75,1,4,0.2,4,6
20,5330.84,1,4,0.2,4,5
25,5220.40,1,5,0.3,5,9
30,5308.13,1,6,0.5,6,16
35,5344.25,2,7,0.4,7,10
40,5355.10,2,7,0.4,7,12
45,5347.67,2,8,0.4,8,11
50,5374.73,2,9,0.5,9,14
55,5343.15,2,10,0.5,10,13
60,5342.14,2,11,0.5,11,16
65,5315.29,2,12,0.5,12,15
70,5301.58,2,13,0.6,13,16
75,5385.03,3,14,0.6,14,18
80,5401.61,3,15,0.7,15,17
85,5366.89,3,16,0.7,16,21
90,5325.51,3,17,0.7,17,20
95,5348.95,3,18,0.6,18,20
100,5332.56,3,19,0.7,19,22
150,5358.28,5,28,1.1,28,32
200,5414.78,7,37,1.3,37,41
250,5472.37,7,46,1.9,46,53
300,5493.62,8,55,2.3,55,61
350,5472.91,11,64,2.7,64,72
400,5532.99,12,72,3.0,72,82
450,5581.60,15,80,3.5,80,88
500,5528.22,15,90,3.9,90,100
550,5455.12,16,101,4.3,101,110
600,5347.66,17,112,5.0,112,120
650,5506.70,21,118,5.3,118,127
700,5484.16,21,127,5.9,128,135
750,5443.30,24,137,6.1,138,152
800,5463.62,23,146,6.8,146,162
850,5406.56,24,156,7.8,157,168
900,5511.10,25,162,8.1,163,181
950,5433.82,35,174,9.1,175,193
1000,5487.25,29,181,9.4,181,199
