users,rps,min,avg,sd,median,max
1,1539.34,1,1,0.0,1,2
2,2215.10,0,1,0.1,1,2
3,2202.93,1,1,0.1,1,3
4,2192.72,1,2,0.1,2,2
5,2215.73,1,2,0.1,2,3
6,2190.23,1,3,0.1,3,5
7,2196.42,2,3,0.1,3,5
8,2202.31,1,4,0.1,4,8
9,2204.88,1,4,0.2,4,6
10,2197.50,1,5,0.2,5,8
11,2182.39,3,5,0.1,5,7
12,2197.30,2,5,0.2,5,11
13,2187.80,1,6,0.2,6,7
14,2198.36,2,6,0.3,6,8
15,2182.81,2,7,0.3,7,9
16,2191.49,3,7,0.2,7,9
17,2178.42,1,8,0.2,8,9
18,2196.56,1,8,0.3,8,10
19,2178.69,1,9,0.2,9,10
20,2199.79,3,9,0.3,9,11
25,2265.67,0,11,3.3,13,20
30,2190.69,2,14,0.4,14,16
35,2181.41,4,16,0.4,16,18
40,2188.38,5,18,0.7,18,21
45,2202.63,3,20,1.4,21,23
50,2184.64,3,23,0.7,23,26
55,2195.72,5,25,0.7,25,28
60,2190.04,5,27,1.0,28,30
65,2200.30,5,30,0.8,30,32
70,2199.76,3,32,1.6,32,35
75,2202.24,6,34,2.2,34,38
80,2200.00,2,36,1.4,37,39
85,2185.70,6,39,2.7,39,43
90,2181.50,7,41,1.4,41,44
95,2194.73,4,43,3.1,44,47
100,2217.57,3,45,3.9,46,50
150,2168.50,6,69,2.3,69,73
200,2190.65,18,91,3.8,91,96
250,2169.04,8,115,5.2,116,121
300,2181.15,8,137,7.5,138,143
350,2189.51,10,160,7.8,160,167
400,2208.54,12,181,13.9,183,190
450,2227.03,14,202,12.0,203,228
500,2213.86,18,225,13.0,226,235
550,2240.95,17,245,22.8,248,260
600,2223.58,17,269,16.9,271,283
650,2240.11,23,289,24.3,293,304
700,2217.89,19,314,22.4,317,329
750,2213.92,25,337,21.9,339,350
800,2192.75,27,363,25.1,366,375
850,2212.17,31,383,27.4,385,396
900,2236.65,27,400,25.8,404,419
950,2211.35,29,427,28.4,430,443
