users,rps,min,avg,sd,median,max
1,210.62,4,5,0.2,5,6
2,397.55,4,5,0.7,5,11
3,497.97,4,6,0.9,6,13
4,606.21,5,7,1.1,7,14
5,687.66,5,7,1.0,7,16
6,760.82,5,8,1.0,8,17
7,806.38,6,9,1.2,9,19
8,871.16,6,9,1.1,9,19
9,909.06,6,10,1.1,10,20
10,960.64,6,10,1.0,10,23
11,981.35,6,11,1.2,11,24
12,1025.90,7,12,1.2,12,24
13,1051.47,8,12,1.3,12,25
14,1081.43,8,13,1.2,13,27
15,1107.28,8,14,1.4,13,28
16,1130.59,8,14,1.5,14,28
17,1143.83,10,15,1.6,15,34
18,1169.40,10,15,1.8,15,30
19,1205.79,11,16,1.8,16,32
20,1203.36,11,17,2.0,16,31
25,1254.87,12,20,2.8,20,36
30,1316.61,14,23,3.6,22,41
35,1374.42,14,25,4.2,25,48
40,1412.16,16,28,4.9,28,60
45,1442.04,17,31,5.5,31,58
50,1470.88,18,34,6.4,34,69
55,1492.36,18,37,7.6,37,71
60,1512.29,20,40,7.4,40,80
65,1537.41,21,42,7.5,42,73
70,1559.96,21,45,7.8,45,83
75,1563.95,23,48,9.1,48,96
80,1577.03,23,51,8.6,51,101
85,1628.05,21,52,9.6,52,92
90,1611.66,24,56,10.8,56,94
95,1627.60,23,58,10.6,58,105
100,1625.51,29,61,9.3,62,98
150,1693.18,35,89,20.9,88,146
200,1718.97,49,116,23.8,116,187
250,1721.27,46,145,47.3,144,249
300,1765.04,25,170,46.7,170,343
350,1727.78,24,202,103.7,203,414
400,1721.30,66,232,103.6,229,411
450,1740.83,21,258,165.7,252,531
500,1749.83,44,285,145.6,284,557
550,1730.27,21,317,203.9,298,647
600,1711.12,28,349,258.6,294,1379
650,1733.41,26,373,219.5,369,764
700,1687.34,28,412,349.4,385,849
750,1697.72,20,439,360.9,410,913
800,1702.53,25,467,357.2,464,981
850,1685.48,26,500,401.1,503,1035
900,1698.90,34,526,418.5,524,1065
950,1680.76,12,561,448.4,556,1180
1000,1704.40,41,579,466.3,581,1197
